id;type_clone;name;description;score;score_level;content;status;qone_quest;qone_asr;qone_opt;qone_usr;qtwo_quest;qtwo_asr;qtwo_opt;qtwo_usr;qtre_quest;qtre_asr;qtre_opt;qtre_usr
1;platforms;hack capacitor;../fake-data/blob/hipster.txt;88057;Engineer;../fake-data/blob/hipster.txt;invoice;Chief Saudi Arabia;Response Toys driver;Cotton Small Frozen Table;Ergonomic Cotton Soap clear-thinking;Clothing artificial intelligence European Unit of Account 17(E.U.A.-17);transmitting cross-platform;Cheese Response Hat;Bahamas Berkshire;Books Reduced Director;Kids Leone;Money Market Account;architectures
2;Rubber Berkshire;Incredible programming Borders;../fake-data/blob/hipster.txt;23154;bypassing Tenge Books;../fake-data/blob/hipster.txt;Cedi SAS;incentivize Health;context-sensitive Marshall Islands Port;coherent;Clothing withdrawal;Bedfordshire;Plaza virtual;Optimization Berkshire index;capacity;Cambridgeshire Home;Fantastic Metal Shoes optical;Streamlined efficient Drives;Antigua and Barbuda
3;circuit Orchestrator Steel;Lights;../fake-data/blob/hipster.txt;56709;solid state FTP homogeneous;../fake-data/blob/hipster.txt;mobile;Orchestrator Markets;Maryland Auto Loan Account Berkshire;24/7;Grass-roots Forks Seamless;synthesize;Taiwan;Producer indexing Spain;interface Cloned Trace;Accounts;local Human;card Engineer;Tasty cultivate transmit
4;payment Organic Bangladesh;payment;../fake-data/blob/hipster.txt;34042;Frozen;../fake-data/blob/hipster.txt;bypass;withdrawal Wooden;bypassing bypassing Concrete;Turnpike Metal;SSL;Persistent Multi-layered;payment Avon success;Mauritania Representative deploy;copy exploit Incredible;paradigms Cheese International;Buckinghamshire parse 1080p;mint green Chief orange;Coordinator
5;Tuna Granite;Designer holistic Refined Concrete Fish;../fake-data/blob/hipster.txt;39384;pink;../fake-data/blob/hipster.txt;Avon;middleware;Senior Plastic;back up Refined clicks-and-mortar;parse navigating Soft;Soft;SQL;violet Rustic Concrete Table Refined Wooden Gloves;HTTP Sleek Metal Tuna HDD;Coordinator back-end budgetary management;THX Borders Checking Account;Realigned SAS Functionality;Identity invoice payment
6;Down-sized end-to-end input;Bolivia Operations;../fake-data/blob/hipster.txt;38776;Portugal;../fake-data/blob/hipster.txt;systems Gabon Home;eyeballs;Ouguiya South Carolina Corporate;Swedish Krona capacitor;synthesize;input Somalia;Soap purple quantifying;France copying;Towels;Credit Card Account system;client-server interface;Metal Usability e-markets;Investment Account Coordinator bluetooth
7;Auto Loan Account;Cambridgeshire transmit;../fake-data/blob/hipster.txt;45046;Home Soap;../fake-data/blob/hipster.txt;systematic salmon Borders;syndicate;Producer;South Carolina Cotton pixel;Architect high-level Aruban Guilder;cross-platform Open-architected;Practical Metal Mouse parsing extend;compress end-to-end hacking;Baby Gorgeous Plastic Mouse navigate;Ireland;synergize Home Loan Account;indexing clicks-and-mortar deposit;Frozen
8;rich AGP;Granite;../fake-data/blob/hipster.txt;32996;Vision-oriented Handmade;../fake-data/blob/hipster.txt;Ergonomic Wooden Bacon empower eco-centric;back-end;deposit primary Facilitator;moderator Roads turquoise;Industrial Tasty Concrete Chips France;Consultant;Fort Enterprise-wide bandwidth;generating functionalities;Mouse Orchestrator;Cambridgeshire;coherent ADP Assurance;Unbranded Metal Salad;Steel algorithm
9;didactic encompassing;PNG clear-thinking;../fake-data/blob/hipster.txt;3552;implement;../fake-data/blob/hipster.txt;Ohio Yemen;application Factors frictionless;Bedfordshire;fuchsia Fresh functionalities;tertiary Credit Card Account methodologies;Avon Balanced gold;port;Beauty;Devolved instruction set;Electronics;Puerto Rico Soft Tuna;Fantastic Outdoors;calculating District
10;incentivize payment Home Loan Account;Legacy solid state Senior;../fake-data/blob/hipster.txt;96246;Jewelery TCP;../fake-data/blob/hipster.txt;plug-and-play;Berkshire Fantastic Fresh Pants;Ball orchid Intelligent Plastic Gloves;Incredible Frozen Salad;Chips National Courts;Beauty;reinvent model;Analyst;Vision-oriented Indiana;Rue;partnerships open-source;Automated;Savings Account withdrawal
