id;type_clone;name;description;score;score_level;content;video_url;viewed
1;New Taiwan Dollar connecting Fiji Dollar;seize;../fake-data/blob/hipster.txt;55250;Iraqi Dinar Specialist;../fake-data/blob/hipster.txt;yellow;false
2;Soft;Re-contextualized;../fake-data/blob/hipster.txt;5463;Sausages;../fake-data/blob/hipster.txt;niches Facilitator navigate;true
3;Tasty;Configuration;../fake-data/blob/hipster.txt;58659;deposit Iraq deposit;../fake-data/blob/hipster.txt;exuding Rubber Refined Frozen Shoes;false
4;reboot vortals;access;../fake-data/blob/hipster.txt;55612;software;../fake-data/blob/hipster.txt;cyan override;false
5;Palestinian Territory Executive Refined;Team-oriented;../fake-data/blob/hipster.txt;15597;Austria fresh-thinking;../fake-data/blob/hipster.txt;Handcrafted;false
6;repurpose;Cambridgeshire;../fake-data/blob/hipster.txt;68720;auxiliary Soap Kids;../fake-data/blob/hipster.txt;Burundi Franc Kids;false
7;Prairie copy withdrawal;generate Incredible;../fake-data/blob/hipster.txt;22798;Investor European Unit of Account 17(E.U.A.-17);../fake-data/blob/hipster.txt;FTP;true
8;Avon blue;green;../fake-data/blob/hipster.txt;80203;withdrawal;../fake-data/blob/hipster.txt;THX;false
9;motivating reboot Rhode Island;Licensed Rubber Granite;../fake-data/blob/hipster.txt;97587;Credit Card Account green Handcrafted Wooden Pants;../fake-data/blob/hipster.txt;Shoes copy Texas;true
10;leading-edge matrix Fantastic Frozen Shirt;pink;../fake-data/blob/hipster.txt;16806;neural;../fake-data/blob/hipster.txt;West Virginia wireless JBOD;false
